THÁNG,NỘI DUNG CHI,PHÂN LOẠI,SỐ TIỀN,DÒNG TIỀN,TÀI CHÍNH
2024.02,Nước kỳ đồng T1,Điện + Nước,1.361.676,Định phí,Chi phí hành chính
2024.02,BH NV,Bảo hiểm,33.638.400,Định phí,Chi phí QLDN
2024.02,tiền bằng bs (T2/24),Thuê bằng,18.000.000,Định phí,Chi phí QLDN
2024.02,Nước kỳ đồng T2,Điện + Nước,1.462.765,Định phí,Chi phí hành chính
2024.02,chi phí phường quận,Mua đồ hành chính,5.700.000,Biến phí,Chi phí hành chính
2024.02,"Cho thuế hàng tháng (t1,2,3)",Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2024.02,đồ đtt,Tiền vật liệu,4.000.000,Biến phí,Chi phí giá vốn
2024.02,kin,Tiền vật liệu,1.920.000,Biến phí,Chi phí giá vốn
2024.02,Thanh Ngọc T1,Tiền vật liệu,132.313.000,Biến phí,Chi phí giá vốn
2024.02,mua máy in+ổ cứng,Mua sắm tài sản,5.511.667,Chi phí khác,Chi phí khác
2024.02,Máy xq,Mua sắm tài sản,34.015.000,Chi phí khác,Chi phí khác
2024.02,mua xe đẩy,Mua sắm tài sản,1.650.000,Chi phí khác,Chi phí khác
2024.02,Lab,Tiền Lab,388.050.000,Biến phí,Chi phí giá vốn
2024.02,Trích thưởng nhân viên cuối năm,Quỹ thưởng tổng cuối năm,3.478.109,Định phí,Chi phí khác
2024.02,Trích quỹ tất niên,Quỹ thưởng tổng cuối năm,11.111.111,Định phí,Chi phí khác
2024.02,anh Quang và anh Hiền đi học,Đào tạo,4.000.000,Chi phí khác,Chi phí khác
2024.03,Hành chính,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2024.03,lương bs,Lương,84.294.471,Định phí,Chi phí QLDN
2024.03,% bs,KPI,173.318.500,Biến phí,Chi phí bán hàng
2024.03,lương bp khác,Lương,247.439.598,Định phí,Chi phí QLDN
2024.03,% các bp khác,KPI,52.394.417,Biến phí,Chi phí bán hàng
2024.03,Hành chính,Mua đồ hành chính,64.391.566,Biến phí,Chi phí hành chính
2024.03,hh 54605,Hành chính MKT,13.970.000,Biến phí,Chi phí bán hàng
2024.03,MTN,Hành chính MKT,15.785.000,Biến phí,Chi phí bán hàng
2024.03,phí trả góp 51480,Hành chính MKT,6.240.000,Biến phí,Chi phí bán hàng
2024.03,giấy in phim,Hành chính MKT,1.400.000,Biến phí,Chi phí bán hàng
2024.03,gth 57507,Hành chính MKT,335.000,Biến phí,Chi phí bán hàng
2024.03,trả góp 57553,Hành chính MKT,5.678.000,Biến phí,Chi phí bán hàng
2024.03,HH 57342,Hành chính MKT,4.086.000,Biến phí,Chi phí bán hàng
2024.03,HH57387,Hành chính MKT,3.812.000,Biến phí,Chi phí bán hàng
2024.03,tiền sở hữu trí tuệ,Hành chính MKT,2.750.000,Biến phí,Chi phí bán hàng
2024.03,20 dép khách,Hành chính MKT,266.667,Biến phí,Chi phí bán hàng
2024.03,gương phòng điều trị,Hành chính MKT,337.667,Biến phí,Chi phí bán hàng
2024.03,KH xem PT,Hành chính MKT,9.166.667,Biến phí,Chi phí bán hàng
2024.03,phí cà thẻ,Phí cà thẻ,3.844.720,Biến phí,Chi phí bán hàng
2024.03,trả góp 57588,Hành chính MKT,3.607.000,Biến phí,Chi phí bán hàng
