THÁNG,NGÀY,TIỀN MẶT,CÀ THẺ,THỰC NHẬN CÀ THẺ,CHUYỂN KHOẢN,TRẢ CỌC,TỔNG,TỔNG TRỪ PHÍ CÀ THẺ
2023.05,26/05/2023,4.420.000,3.670.000,3.626.520,6.260.000,0,14.350.000,14.306.520
2023.05,27/05/2023,11.445.000,5.630.000,5.539.920,33.560.000,0,50.635.000,50.544.920
2023.05,28/05/2023,24.095.000,2.450.000,2.403.600,14.370.000,0,40.915.000,40.868.600
2023.05,29/05/2023,5.875.000,4.180.000,4.125.120,26.610.000,0,36.665.000,36.610.120
2023.05,30/05/2023,10.470.000,2.250.000,2.214.000,6.660.000,0,19.380.000,19.344.000
2023.05,31/05/2023,7.820.000,3.650.000,3.591.600,19.780.000,0,31.250.000,31.191.600
2023.06,01/06/2023,1.900.000,6.860.000,6.751.740,16.610.000,0,25.370.000,25.261.740
2023.06,02/06/2023,14.735.000,6.145.000,6.059.130,23.405.000,0,44.285.000,44.199.130
2023.06,03/06/2023,16.770.000,17.070.000,16.821.330,26.330.000,0,60.170.000,59.921.330
2023.06,04/06/2023,30.000.000,14.945.000,14.755.830,26.405.000,0,71.350.000,71.160.830
2023.06,05/06/2023,8.450.000,2.850.000,2.809.400,14.895.000,0,26.195.000,26.154.400
2023.06,06/06/2023,40.250.000,6.550.000,6.473.200,14.925.000,0,61.725.000,61.648.200
2023.06,07/06/2023,18.300.000,4.995.000,4.928.080,11.550.000,0,34.845.000,34.778.080
2023.06,08/06/2023,6.875.000,65.245.000,64.201.080,14.580.000,695.000,86.005.000,84.961.080
2023.06,09/06/2023,13.595.000,23.800.000,23.424.200,37.066.000,0,74.461.000,74.085.200
2023.06,10/06/2023,13.065.000,9.575.000,9.414.000,34.405.000,0,57.045.000,56.884.000
2023.06,11/06/2023,24.710.000,9.625.000,9.554.750,55.380.000,0,89.715.000,89.644.750
2023.06,12/06/2023,4.620.000,17.545.000,17.291.230,17.590.000,0,39.755.000,39.501.230
2023.06,13/06/2023,5.220.000,6.070.000,5.980.680,11.415.000,0,22.705.000,22.615.680
2023.06,14/06/2023,42.875.000,7.560.000,7.435.680,44.780.000,450.000,94.765.000,94.640.680
2023.06,15/06/2023,23.375.000,10.265.000,10.192.210,25.210.000,0,58.850.000,58.777.210
2023.06,16/06/2023,22.065.000,6.060.000,5.975.540,26.520.000,0,54.645.000,54.560.540
2023.06,17/06/2023,6.350.000,4.540.000,4.467.390,52.115.000,0,63.005.000,62.932.390
2023.06,18/06/2023,11.310.000,37.665.000,37.075.360,50.585.000,0,99.560.000,98.970.360
2023.06,19/06/2023,9.755.000,10.760.000,10.587.840,7.995.000,0,28.510.000,28.337.840
2023.06,20/06/2023,8.495.000,4.790.000,4.735.810,23.965.000,0,37.250.000,37.195.810
2023.06,21/06/2023,8.840.000,14.775.000,14.567.050,64.960.000,0,88.575.000,88.367.050
2023.06,22/06/2023,5.215.000,18.845.000,18.582.430,12.005.000,0,36.065.000,35.802.430
2023.06,23/06/2023,3.685.000,1.200.000,1.180.800,3.350.000,0,8.235.000,8.215.800
2023.06,24/06/2023,3.435.000,7.060.000,6.937.000,17.980.000,0,28.475.000,28.352.000
2023.06,25/06/2023,4.920.000,13.060.000,12.848.480,17.770.000,0,35.750.000,35.538.480
2023.06,26/06/2023,6.430.000,1.680.000,1.653.120,50.570.000,0,58.680.000,58.653.120
2023.06,27/06/2023,5.400.000,3.950.000,3.886.800,8.260.000,0,17.610.000,17.546.800
2023.06,28/06/2023,26.700.000,2.600.000,2.530.900,9.395.000,0,38.695.000,38.625.900
2023.06,29/06/2023,29.780.000,24.000.000,23.830.710,14.145.000,0,67.925.000,67.755.710
2023.06,30/06/2023,11.780.000,3.465.000,3.418.000,39.590.000,0,54.835.000,54.788.000
2023.07,01/07/2023,9.590.000,7.500.000,7.392.500,15.790.000,0,32.880.000,32.772.500
2023.07,02/07/2023,15.910.000,8.550.000,8.413.200,14.860.000,0,39.320.000,39.183.200
2023.07,03/07/2023,7.440.000,1.810.000,1.799.140,15.645.000,1.680.000,23.215.000,23.204.140
2023.07,04/07/2023,9.600.000,7.850.000,7.739.400,19.245.000,0,36.695.000,36.584.400
2023.07,05/07/2023,3.900.000,4.955.000,4.878.720,600.000,0,9.455.000,9.378.720
2023.07,06/07/2023,5.045.000,7.840.000,7.751.060,34.475.000,0,47.360.000,47.271.060
2023.07,07/07/2023,11.015.000,8.500.000,8.387.000,30.055.000,0,49.570.000,49.457.000
2023.07,08/07/2023,13.900.000,15.230.000,15.042.620,42.855.000,630.000,71.355.000,71.167.620
2023.07,09/07/2023,16.900.000,2.945.000,2.912.330,16.560.000,0,36.405.000,36.372.330
