THÁNG,NGÀY,TIỀN MẶT,CÀ THẺ,THỰC NHẬN CÀ THẺ,CHUYỂN KHOẢN,TRẢ GÓP,TRẢ CỌC,TỔNG,TỔNG TRỪ PHÍ CÀ THẺ
2024.05,07/05/2024,0,5.000.000,4.920.000,14.950.000,39.790.000,0,59.740.000,59.660.000
2024.05,08/05/2024,3.350.000,6.000.000,5.904.000,9.550.000,0,0,18.900.000,18.804.000
2024.05,09/05/2024,109.280.000,0,0,29.635.000,0,0,138.915.000,138.915.000
2024.05,10/05/2024,700.000,850.000,836.400,23.760.000,0,0,25.310.000,25.296.400
2024.05,11/05/2024,2.410.000,219.000.000,213.396.000,5.350.000,0,0,226.760.000,221.156.000
2024.05,12/05/2024,2.070.000,350.000,344.400,59.250.000,0,0,61.670.000,61.664.400
2024.05,13/05/2024,8.750.000,350.000,344.400,31.000.000,0,0,40.100.000,40.094.400
2024.05,14/05/2024,970.000,18.500.000,18.204.000,35.220.000,0,0,54.690.000,54.394.000
2024.05,15/05/2024,350.000,172.000.000,168.363.000,10.257.000,0,0,182.607.000,178.970.000
2024.05,16/05/2024,4.700.000,74.125.000,72.532.187,11.950.000,0,0,90.775.000,89.182.187
2024.05,17/05/2024,2.350.000,0,0,1.610.000,0,0,3.960.000,3.960.000
2024.05,18/05/2024,2.920.000,48.400.000,47.625.600,18.000.000,0,0,69.320.000,68.545.600
2024.05,19/05/2024,9.400.000,1.350.000,1.328.400,93.370.000,0,0,104.120.000,104.098.400
2024.05,20/05/2024,10.455.000,12.000.000,11.808.000,56.310.000,0,2.708.000,76.057.000,75.865.000
2024.05,21/05/2024,19.385.000,10.000.000,9.850.000,6.500.000,0,0,35.885.000,35.735.000
2024.05,22/05/2024,0,13.750.000,13.494.000,3.000.000,0,0,16.750.000,16.494.000
2024.05,23/05/2024,127.795.000,0,0,6.000.000,0,0,133.795.000,133.795.000
2024.05,24/05/2024,0,0,0,560.000,0,0,560.000,560.000
2024.05,25/05/2024,500.000,210.000,206.640,1.500.000,0,0,2.210.000,2.206.640
2024.05,26/05/2024,2.000.000,700.000,688.800,45.530.000,0,0,48.230.000,48.218.800
2024.05,27/05/2024,8.400.000,2.350.000,2.315.800,3.475.000,0,0,14.225.000,14.190.800
2024.05,28/05/2024,950.000,5.500.000,5.379.000,10.950.000,0,0,17.400.000,17.279.000
2024.05,29/05/2024,4.960.000,0,0,5.490.000,0,0,10.450.000,10.450.000
2024.05,30/05/2024,2.050.000,1.850.000,1.828.900,3.000.000,0,0,6.900.000,6.878.900
2024.05,31/05/2024,60.700.000,2.700.000,2.644.800,3.350.000,0,0,66.750.000,66.694.800
2024.06,01/06/2024,0,1.450.000,1.426.800,8.090.000,0,0,9.540.000,9.516.800
2024.06,02/06/2024,4.950.000,4.000.000,3.912.000,19.390.000,0,0,28.340.000,28.252.000
2024.06,03/06/2024,17.300.000,4.000.000,3.936.000,4.750.000,0,0,26.050.000,25.986.000
2024.06,04/06/2024,29.455.000,21.300.000,20.938.200,411.950.000,0,0,462.705.000,462.343.200
2024.06,05/06/2024,500.000,0,0,6.850.000,0,0,7.350.000,7.350.000
2024.06,06/06/2024,39.095.000,6.900.000,6.789.600,138.250.000,0,0,184.245.000,184.134.600
2024.06,07/06/2024,2.560.000,0,0,13.420.000,0,0,15.980.000,15.980.000
2024.06,08/06/2024,8.250.000,3.770.000,3.709.680,3.410.000,0,0,15.430.000,15.369.680
2024.06,09/06/2024,2.500.000,8.350.000,8.216.100,10.500.000,0,0,21.350.000,21.216.100
